TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/03/14
TIME	13:42:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	1100
LASTX	350
NPOINTS	1501
FIRSTY	0.0506353
MAXY	0.267105
MINY	0.050465
XYDATA
1100	0.0506353
1099.5	0.050471
1099	0.0507089
1098.5	0.050465
1098	0.0504757
1097.5	0.0505167
1097	0.0505958
1096.5	0.0506667
1096	0.0507899
1095.5	0.0508021
1095	0.0507119
1094.5	0.0506939
1094	0.0506452
1093.5	0.0506429
1093	0.0506943
1092.5	0.0507724
1092	0.0508583
1091.5	0.0509207
1091	0.0509734
1090.5	0.0509635
1090	0.050921
1089.5	0.0508979
1089	0.0508861
1088.5	0.0508845
1088	0.0509173
1087.5	0.050948
1087	0.0509747
1086.5	0.0509973
1086	0.0510121
1085.5	0.0509968
1085	0.0509761
1084.5	0.051079
1084	0.0511119
1083.5	0.0514167
1083	0.0516232
1082.5	0.051659
1082	0.0517646
1081.5	0.0517989
1081	0.051831
1080.5	0.0517654
1080	0.0517582
1079.5	0.0515233
1079	0.051416
1078.5	0.0514671
1078	0.0514514
1077.5	0.0515051
1077	0.0515232
1076.5	0.0515332
1076	0.0515524
1075.5	0.0515578
1075	0.0515409
1074.5	0.0515543
1074	0.0515624
1073.5	0.0515798
1073	0.0516298
1072.5	0.0516706
1072	0.0517158
1071.5	0.0517531
1071	0.0517721
1070.5	0.0517829
1070	0.0518027
1069.5	0.0518319
1069	0.0518872
1068.5	0.0519294
1068	0.0519735
1067.5	0.0520235
1067	0.0520982
1066.5	0.0521592
1066	0.0522276
1065.5	0.0522542
1065	0.0522672
1064.5	0.0523022
1064	0.0523075
1063.5	0.0523258
1063	0.0523312
1062.5	0.0523526
1062	0.052351
1061.5	0.0523895
1061	0.0524115
1060.5	0.0524215
1060	0.0524558
1059.5	0.0524592
1059	0.0524872
1058.5	0.0525128
1058	0.0525707
1057.5	0.0526022
1057	0.0526253
1056.5	0.0526809
1056	0.0527325
1055.5	0.0527956
1055	0.052847
1054.5	0.0529055
1054	0.0529391
1053.5	0.0529857
1053	0.0530238
1052.5	0.0530301
1052	0.0530318
1051.5	0.0530324
1051	0.0530421
1050.5	0.0530473
1050	0.0530526
1049.5	0.0530585
1049	0.0530827
1048.5	0.0531074
1048	0.0531262
1047.5	0.0531588
1047	0.0531706
1046.5	0.053183
1046	0.0532339
1045.5	0.0532647
1045	0.0532962
1044.5	0.0533544
1044	0.0533944
1043.5	0.0534354
1043	0.0534862
1042.5	0.0535465
1042	0.053588
1041.5	0.0536354
1041	0.0536704
1040.5	0.0536902
1040	0.0537143
1039.5	0.0537362
1039	0.0537289
1038.5	0.0537138
1038	0.0536857
1037.5	0.0536733
1037	0.0536677
1036.5	0.0536572
1036	0.053668
1035.5	0.0536825
1035	0.0537114
1034.5	0.0537321
1034	0.0537657
1033.5	0.0537966
1033	0.0538222
1032.5	0.0538434
1032	0.053886
1031.5	0.0539221
1031	0.0539611
1030.5	0.0540135
1030	0.0540425
1029.5	0.0540647
1029	0.0540985
1028.5	0.0541422
1028	0.0541461
1027.5	0.0541673
1027	0.0541857
1026.5	0.0541916
1026	0.0542626
1025.5	0.0542776
1025	0.0542908
1024.5	0.0543087
1024	0.0543103
1023.5	0.0543184
1023	0.0543278
1022.5	0.0543376
1022	0.054325
1021.5	0.054362
1021	0.0543995
1020.5	0.0544212
1020	0.0544997
1019.5	0.0545345
1019	0.0545621
1018.5	0.0546219
1018	0.0546491
1017.5	0.0546944
1017	0.0547588
1016.5	0.0548014
1016	0.0548252
1015.5	0.0548534
1015	0.054901
1014.5	0.0548978
1014	0.0548917
1013.5	0.0549152
1013	0.0548722
1012.5	0.0548856
1012	0.0548491
1011.5	0.0548404
1011	0.0548635
1010.5	0.0548908
1010	0.0549496
1009.5	0.0549752
1009	0.0550607
1008.5	0.0551059
1008	0.0552165
1007.5	0.0553034
1007	0.0553423
1006.5	0.0554131
1006	0.0554476
